,description,language,description_no_nn,translated_text,tokens_text,preprocessed_text,ngrams_only,Nouns,final_tokens,final_memo_tokens
0, china april prnewswire longi has once again been ranked the highest aaa category the latest edition the moduletech bankability ratings marking its thirteenth consecutive aaa ranking and consolidating the company ,en, china april prnewswire longi has once again been ranked the highest aaa category the latest edition the moduletech bankability ratings marking its thirteenth consecutive aaa ranking and consolidating the company , china april prnewswire longi has once again been ranked the highest aaa category the latest edition the moduletech bankability ratings marking its thirteenth consecutive aaa ranking and consolidating the company ,"['china', 'april', 'prnewswire', 'longi', 'ranked', 'highest', 'aaa', 'category', 'latest', 'edition', 'moduletech', 'bankability', 'rating', 'marking', 'thirteenth', 'consecutive', 'aaa', 'ranking', 'consolidating', 'company']","['china', 'april', 'prnewswire', 'longi', 'ranked', 'highest', 'aaa', 'category', 'latest', 'edition', 'moduletech', 'bankability', 'rating', 'marking', 'thirteenth', 'consecutive', 'aaa', 'ranking', 'consolidating', 'company']",[],china april prnewswire longi category edition moduletech bankability rating aaa company,"['china', 'april', 'prnewswire', 'longi', 'category', 'edition', 'moduletech', 'bankability', 'rating', 'aaa', 'company']","['china', 'april', 'prnewswire', 'longi', 'category', 'edition', 'moduletech', 'bankability', 'rating', 'aaa', 'company']"
1, apparently the latest food craze america cookies made company called crumbl less than year the two techpreneurs who started this behemoth have opened stores across the country there are queues around the corner each week the ,en, apparently the latest food craze america cookies made company called crumbl less than year the two techpreneurs who started this behemoth have opened stores across the country there are queues around the corner each week the , apparently the latest food craze america cookies made company called crumbl less than year the two techpreneurs who started this behemoth have opened stores across the country there are queues around the corner each week the ,"['apparently', 'latest', 'food', 'craze', 'america', 'cooky', 'made', 'company', 'called', 'crumbl', 'le', 'year', 'two', 'techpreneurs', 'started', 'behemoth', 'opened', 'store', 'across', 'country', 'queue', 'around', 'corner', 'week']","['apparently', 'latest', 'food', 'craze', 'america', 'cooky', 'made', 'company', 'called', 'crumbl', 'le', 'year', 'two', 'techpreneurs', 'started', 'behemoth', 'opened', 'store', 'across', 'country', 'queue', 'around', 'corner', 'week']",[],food craze america cooky company crumbl year techpreneurs store country queue corner week,"['food', 'craze', 'america', 'cooky', 'company', 'crumbl', 'year', 'techpreneurs', 'store', 'country', 'queue', 'corner', 'week']","['food', 'craze', 'america', 'cooky', 'company', 'crumbl', 'year', 'techpreneurs', 'store', 'country', 'queue', 'corner', 'week']"
2, the supreme court has preserved access key abortion drug for mil lions women the latest legal battle over reproductive rights the country ,en, the supreme court has preserved access key abortion drug for mil lions women the latest legal battle over reproductive rights the country , the supreme court has preserved access key abortion drug for mil lions women the latest legal battle over reproductive rights the country ,"['supreme', 'court', 'preserved', 'access', 'key', 'abortion', 'drug', 'mil', 'lion', 'woman', 'latest', 'legal', 'battle', 'reproductive', 'right', 'country']","['supreme', 'court', 'preserved', 'access', 'key', 'abortion', 'drug', 'mil', 'lion', 'woman', 'latest', 'legal', 'battle', 'reproductive', 'right', 'country']",[],court access abortion drug mil lion woman battle country,"['court', 'access', 'abortion', 'drug', 'mil', 'lion', 'woman', 'battle', 'country']","['court', 'access', 'abortion', 'drug', 'mil', 'lion', 'woman', 'battle', 'country']"
3, what causes gallstones gallstones are hardened deposits digestive fluid made the liver called bile which helps digest fats they form the gallbladder which sits underneath the liver gallstones are common but you often don get sympt ,en, what causes gallstones gallstones are hardened deposits digestive fluid made the liver called bile which helps digest fats they form the gallbladder which sits underneath the liver gallstones are common but you often don get sympt , what causes gallstones gallstones are hardened deposits digestive fluid made the liver called bile which helps digest fats they form the gallbladder which sits underneath the liver gallstones are common but you often don get sympt ,"['cause', 'gallstone', 'gallstone', 'hardened', 'deposit', 'digestive', 'fluid', 'made', 'liver', 'called', 'bile', 'help', 'digest', 'fat', 'form', 'gallbladder', 'sits', 'underneath', 'liver', 'gallstone', 'common', 'often', 'get', 'sympt']","['cause', 'gallstone', 'gallstone', 'hardened', 'deposit', 'digestive', 'fluid', 'made', 'liver', 'called', 'bile', 'help', 'digest', 'fat', 'form', 'gallbladder', 'sits', 'underneath', 'liver', 'gallstone', 'common', 'often', 'get', 'sympt']",[],cause gallstone gallstone deposit digestive fluid bile help form gallbladder liver gallstone,"['cause', 'gallstone', 'deposit', 'digestive', 'fluid', 'bile', 'help', 'form', 'gallbladder', 'liver']","['cause', 'gallstone', 'deposit', 'digestive', 'fluid', 'bile', 'help', 'form', 'gallbladder', 'liver']"
4, shenzhen china april prnewswire april th huawei held the striding towards the intelligent world session global analyst summit peng song huawei president ict strategy amp marketing delivered the keynote speech titl ,en, shenzhen china april prnewswire april th huawei held the striding towards the intelligent world session global analyst summit peng song huawei president ict strategy amp marketing delivered the keynote speech titl , shenzhen china april prnewswire april th huawei held the striding towards the intelligent world session global analyst summit peng song huawei president ict strategy amp marketing delivered the keynote speech titl ,"['shenzhen', 'china', 'april', 'prnewswire', 'april', 'th', 'huawei', 'held', 'striding', 'towards', 'intelligent', 'world', 'session', 'global', 'analyst', 'summit', 'peng', 'song', 'huawei', 'president', 'ict', 'strategy', 'amp', 'marketing', 'delivered', 'keynote', 'speech', 'titl']","['shenzhen', 'china', 'april', 'prnewswire', 'april', 'th', 'huawei', 'held', 'striding', 'towards', 'intelligent', 'world', 'session', 'global', 'analyst', 'summit', 'peng', 'song', 'huawei', 'president', 'ict', 'strategy', 'amp', 'marketing', 'delivered', 'keynote', 'speech', 'titl']",[],china april prnewswire april th towards world session analyst summit peng song huawei president ict strategy marketing speech titl,"['china', 'april', 'prnewswire', 'towards', 'world', 'session', 'analyst', 'summit', 'peng', 'song', 'huawei', 'president', 'ict', 'strategy', 'marketing', 'speech', 'titl']","['china', 'april', 'prnewswire', 'towards', 'world', 'session', 'analyst', 'summit', 'peng', 'song', 'huawei', 'president', 'ict', 'strategy', 'marketing', 'speech', 'titl']"
5, met verbeterde nauwkeurigheid slimme detectie met intelligente algoritmen navigatiealgoritmen waarnemingsalgoritmen hangzhou china april prnewswire imou een toonaangevende leverancier van slimme iot oplossingen diensten ,nl, met verbeterde nauwkeurigheid slimme detectie met intelligente algoritmen navigatiealgoritmen waarnemingsalgoritmen hangzhou china april prnewswire imou een toonaangevende leverancier van slimme iot oplossingen diensten ,with improved accuracy smart sensing with intelligent algorithms navigation algorithms sensing algorithms hangzhou china april prnewswire imou a leading provider of smart iot solutions services,"['improved', 'accuracy', 'smart', 'sensing', 'intelligent', 'algorithm', 'navigation', 'algorithm', 'sensing', 'algorithm', 'hangzhou', 'china', 'april', 'prnewswire', 'imou', 'leading', 'provider', 'smart', 'iot', 'solution', 'service']","['improved', 'accuracy', 'smart', 'sensing', 'intelligent', 'algorithm', 'navigation', 'algorithm', 'sensing', 'algorithm', 'hangzhou', 'china', 'april', 'prnewswire', 'imou', 'leading', 'provider', 'smart', 'iot', 'solution', 'service']",[],navigation china april prnewswire imou provider iot solution service,"['navigation', 'china', 'april', 'prnewswire', 'imou', 'provider', 'iot', 'solution', 'service']","['navigation', 'china', 'april', 'prnewswire', 'imou', 'provider', 'iot', 'solution', 'service']"
6, beijing april prnewswire recently solar globally leading manufacturer photovoltaic products was awarded the top brand the latam region and its major economies brazil mexico and chile and africa including ,en, beijing april prnewswire recently solar globally leading manufacturer photovoltaic products was awarded the top brand the latam region and its major economies brazil mexico and chile and africa including , beijing april prnewswire recently solar globally leading manufacturer photovoltaic products was awarded the top brand the latam region and its major economies brazil mexico and chile and africa including ,"['beijing', 'april', 'prnewswire', 'recently', 'solar', 'globally', 'leading', 'manufacturer', 'photovoltaic', 'product', 'awarded', 'top', 'brand', 'latam', 'region', 'major', 'economy', 'brazil', 'mexico', 'chile', 'africa', 'including']","['beijing', 'april', 'prnewswire', 'recently', 'solar', 'globally', 'leading', 'manufacturer', 'photovoltaic', 'product', 'awarded', 'top', 'brand', 'latam', 'region', 'major', 'economy', 'brazil', 'mexico', 'chile', 'africa', 'including']",[],april prnewswire manufacturer product brand latam region economy mexico chile africa,"['april', 'prnewswire', 'manufacturer', 'product', 'brand', 'latam', 'region', 'economy', 'mexico', 'chile', 'africa']","['april', 'prnewswire', 'manufacturer', 'product', 'brand', 'latam', 'region', 'economy', 'mexico', 'chile', 'africa']"
7, solution offre une précision améliorée une détection intelligente grâce des algorithmes intelligents des algorithmes navigation des algorithmes perception hangzhou chine avril prnewswire imou fournisseur leader ,fr, solution offre une précision améliorée une détection intelligente grâce des algorithmes intelligents des algorithmes navigation des algorithmes perception hangzhou chine avril prnewswire imou fournisseur leader ,solution provides improved accuracy intelligent detection through intelligent algorithms algorithms navigation algorithms perception hangzhou china april prnewswire imou leading provider,"['solution', 'provides', 'improved', 'accuracy', 'intelligent', 'detection', 'intelligent', 'algorithm', 'algorithm', 'navigation', 'algorithm', 'perception', 'hangzhou', 'china', 'april', 'prnewswire', 'imou', 'leading', 'provider']","['solution', 'provides', 'improved', 'accuracy', 'intelligent', 'detection', 'intelligent', 'algorithm', 'algorithm', 'navigation', 'algorithm', 'perception', 'hangzhou', 'china', 'april', 'prnewswire', 'imou', 'leading', 'provider']",[],solution accuracy detection intelligent algorithm navigation algorithm perception hangzhou china april prnewswire imou provider,"['solution', 'accuracy', 'detection', 'intelligent', 'algorithm', 'navigation', 'perception', 'hangzhou', 'china', 'april', 'prnewswire', 'imou', 'provider']","['solution', 'accuracy', 'detection', 'intelligent', 'algorithm', 'navigation', 'perception', 'hangzhou', 'china', 'april', 'prnewswire', 'imou', 'provider']"
22, the poorest families are being driven unhealthy diets the cost living crisis inadvertently fuelling obesity epidemic expert has warned ,en, the poorest families are being driven unhealthy diets the cost living crisis inadvertently fuelling obesity epidemic expert has warned , the poorest families are being driven unhealthy diets the cost living crisis inadvertently fuelling obesity epidemic expert has warned ,"['poorest', 'family', 'driven', 'unhealthy', 'diet', 'cost', 'living', 'crisis', 'inadvertently', 'fuelling', 'obesity', 'epidemic', 'expert', 'warned']","['poorest', 'family', 'driven', 'unhealthy', 'diet', 'cost', 'living', 'crisis', 'inadvertently', 'fuelling', 'obesity', 'epidemic', 'expert', 'warned']",[],family cost living crisis obesity expert,"['family', 'cost', 'living', 'crisis', 'obesity', 'expert']","['family', 'cost', 'living', 'crisis', 'obesity', 'expert']"
29, front neurosci epub mar authors okar shinohara beck reich ineichen bvpubmed submit comment ,en, front neurosci epub mar authors okar shinohara beck reich ineichen bvpubmed submit comment , front neurosci epub mar authors okar shinohara beck reich ineichen bvpubmed submit comment ,"['front', 'neurosci', 'epub', 'mar', 'author', 'okar', 'shinohara', 'beck', 'reich', 'ineichen', 'bvpubmed', 'submit', 'comment']","['front', 'neurosci', 'epub', 'mar', 'author', 'okar', 'shinohara', 'beck', 'reich', 'ineichen', 'bvpubmed', 'submit', 'comment']",[],mar author okar shinohara beck reich ineichen comment,"['mar', 'author', 'okar', 'shinohara', 'beck', 'reich', 'ineichen', 'comment']","['mar', 'author', 'okar', 'shinohara', 'beck', 'reich', 'ineichen', 'comment']"
